"","year","geography","grade","N","vax","value","percent_surveyed","survey_type"
"145","2015-16","New Mexico","Kindergarten",29049,"dtap","94.7",2.7,"Stratified 2-stage cluster sample"
"146","2023-24","New Mexico","Kindergarten",20699,"varicella","94.4",100,"Census"
"147","2023-24","New Mexico","Kindergarten",20699,"mmr","95.0",100,"Census"
"148","2023-24","New Mexico","Kindergarten",20699,"dtap","94.8",100,"Census"
"149","2023-24","New Mexico","Kindergarten",20699,"varicella","NReq",100,"Census"
"150","2023-24","New Mexico","Kindergarten",20699,"varicella","94.4",100,"Census"
"151","2023-24","New Mexico","Kindergarten",20699,"hep_b","96.7",100,"Census"
"152","2023-24","New Mexico","Kindergarten",20699,"polio","95.0",100,"Census"
"153","2012-13","New Mexico","Kindergarten",29279,"polio","96.8",3.3,"2-stage Cluster Sample"
"154","2013-14","New Mexico","Kindergarten",30725,"polio","97.4",2.7,"Stratified  2-stage cluster sample"
"155","2014-15","New Mexico","Kindergarten",29918,"polio","97.9",3.3,"Stratified 2-stage cluster sample"
"156","2015-16","New Mexico","Kindergarten",29049,"polio","95.6",2.7,"Stratified 2-stage cluster sample"
"157","2017-18","New Mexico","Kindergarten",26896,"polio","94.8",99.6,"Stratified 2-stage cluster sample"
"158","2016-17","New Mexico","Kindergarten",27119,"polio","95.1",4.5,"Stratified 2-stage cluster sample"
"159","2018-19","New Mexico","Kindergarten",25269,"polio","96.1",99.6,"Census"
"160","2021-22","New Mexico","Kindergarten",20736,"polio","94.3",100,"Census"
"161","2020-21","New Mexico","Kindergarten",20589,"polio","95.7",100,"Census"
"162","2010-11","New Mexico","Kindergarten",NA,"varicella",NA,NA,NA
"163","2011-12","New Mexico","Kindergarten",29159,"varicella","94.2",2,"2-stage Cluster Sample"
"164","2012-13","New Mexico","Kindergarten",29279,"varicella","94.0",3.3,"2-stage Cluster Sample"
"165","2013-14","New Mexico","Kindergarten",30725,"varicella","93.4",2.7,"Stratified  2-stage cluster sample"
"166","2019-20","New Mexico","Kindergarten",23087,"polio","96.9",100,"Census"
"167","2009-10","New Mexico","Kindergarten",26318,"varicella","94.9",2.2,"Random sample"
"168","2021-22","New Mexico","Kindergarten",20736,"varicella","NReq",100,"Census"
"169","2011-12","New Mexico","Kindergarten",29159,"varicella",NA,2,"2-stage Cluster Sample"
"170","2020-21","New Mexico","Kindergarten",20589,"dtap","95.7",100,"Census"
"171","2021-22","New Mexico","Kindergarten",20736,"dtap","94.0",100,"Census"
"172","2018-19","New Mexico","Kindergarten",25269,"dtap","96.0",99.6,"Census"
"173","2019-20","New Mexico","Kindergarten",23087,"dtap","96.7",100,"Census"
"174","2017-18","New Mexico","Kindergarten",26896,"dtap","94.9",99.6,"Stratified 2-stage cluster sample"
"175","2015-16","New Mexico","Kindergarten",29049,"varicella",NA,2.7,"Stratified 2-stage cluster sample"
"176","2020-21","New Mexico","Kindergarten",20589,"varicella","NReq",100,"Census"
"177","2019-20","New Mexico","Kindergarten",23087,"varicella","NReq",100,"Census"
